User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3250.00,2023/05/01,INCOME_WAGES,Direct Deposit,EMP01,TechCorp Inc.,ACH,N/A
US001,T002,-45.99,2023/05/01,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase
US001,T003,-12.50,2023/05/02,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Citi
US001,T004,-59.99,2023/05/02,GENERAL_SERVICES_EDUCATION,Credit Card,ED01,Coursera,Visa,Chase
US001,T005,-9.99,2023/05/03,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MU01,Spotify,Mastercard,Citi
US001,T006,-35.00,2023/05/03,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,GY01,Planet Fitness,Visa,Chase
US001,T007,-22.50,2023/05/04,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Chipotle,Mastercard,Citi
US001,T008,-14.99,2023/05/05,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,TV01,Netflix,Visa,Chase
US001,T009,-65.00,2023/05/05,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Debit Card,CL01,H&M,Visa,Chase
US001,T010,-850.00,2023/05/06,RENT_AND_UTILITIES_RENT,Bank Transfer,LN01,Oakwood Apartments,ACH,N/A
US001,T011,-75.00,2023/05/06,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Credit Card,IN01,Comcast,Mastercard,Citi
US001,T012,-40.00,2023/05/07,TRANSPORTATION_GAS,Debit Card,GS01,Shell,Visa,Chase
US001,T013,-18.99,2023/05/08,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,Mastercard,Citi
US001,T014,-12.50,2023/05/09,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Citi
US001,T015,-29.99,2023/05/09,GENERAL_SERVICES_EDUCATION,Credit Card,ED02,Udemy,Visa,Chase
US001,T016,-55.00,2023/05/10,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,HB01,Supercuts,Visa,Chase
US001,T017,-32.50,2023/05/11,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS02,Panera Bread,Mastercard,Citi
US001,T018,-35.00,2023/05/11,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,GY01,Planet Fitness,Visa,Chase
US001,T019,-89.99,2023/05/12,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,Visa,Chase
US001,T020,-25.00,2023/05/12,ENTERTAINMENT_VIDEO_GAMES,Credit Card,VG01,Steam,Mastercard,Citi
US001,T021,-42.50,2023/05/13,FOOD_AND_DRINK_GROCERIES,Debit Card,GR03,Safeway,Visa,Chase
US001,T022,-15.99,2023/05/13,GENERAL_MERCHANDISE_BOOKS_AND_NEWSSTANDS,Credit Card,BK01,Barnes & Noble,Mastercard,Citi
US001,T023,-12.50,2023/05/14,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Citi
US001,T024,-30.00,2023/05/14,TRANSPORTATION_GAS,Debit Card,GS02,Chevron,Visa,Chase
US001,T025,-18.99,2023/05/15,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Domino's Pizza,Visa,Chase
US001,T026,-50.00,2023/05/15,TRANSFER_OUT_SAVINGS,Bank Transfer,SV01,Personal Savings,ACH,N/A
