User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,5280.00,2024/01/05,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,B001,-1850.00,2024/01/05,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Auto Debit,MTG01,HomeLoans Corp,ACH,Chase Bank
US001,C001,-125.75,2024/01/01,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST01,Gourmet Bistro,VISA,American Express
US001,D001,-89.50,2024/01/02,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELC01,Best Buy,Mastercard,Citi Bank
US001,E001,-65.30,2024/01/03,FOOD_AND_DRINK_GROCERIES,Debit Card,GRC01,Whole Foods,VISA,Chase Bank
US001,F001,-45.00,2024/01/03,TRANSPORTATION_GAS,Credit Card,GAS01,Shell,VISA,American Express
US001,G001,-12.99,2024/01/04,ENTERTAINMENT_TV_AND_MOVIES,Auto Debit,STR01,Netflix,ACH,Chase Bank
US001,H001,-150.00,2024/01/05,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,Equinox,Mastercard,Citi Bank
US001,I001,-75.80,2024/01/06,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CLT01,Nordstrom,VISA,American Express
US001,J001,-220.00,2024/01/07,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Debit Card,SPT01,StubHub,VISA,Chase Bank
US001,K001,-35.50,2024/01/08,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST02,Cheesecake Factory,Mastercard,Citi Bank
US001,L001,-180.00,2024/01/09,GENERAL_SERVICES_AUTOMOTIVE,Credit Card,AUT01,Midas,VISA,American Express
US001,M001,-55.00,2024/01/10,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,SAL01,SuperCuts,VISA,Chase Bank
US001,N001,-15.99,2024/01/10,ENTERTAINMENT_MUSIC_AND_AUDIO,Auto Debit,STR02,Spotify,ACH,Chase Bank
US001,O001,-95.75,2024/01/11,FOOD_AND_DRINK_GROCERIES,Credit Card,GRC02,Trader Joe's,Mastercard,Citi Bank
US001,P001,-250.00,2024/01/12,LOAN_PAYMENTS_CAR_PAYMENT,Auto Debit,AUT02,Toyota Financial,ACH,Chase Bank
US001,Q001,-110.00,2024/01/12,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Auto Debit,UTL01,Comcast,ACH,Chase Bank
US001,R001,-85.00,2024/01/13,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELC02,Apple Store,VISA,American Express
US001,S001,-40.25,2024/01/13,FOOD_AND_DRINK_RESTAURANT,Debit Card,RST03,Chipotle,VISA,Chase Bank
US001,T001,-150.00,2024/01/14,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,DPT01,Macy's,Mastercard,Citi Bank
US001,U001,-65.00,2024/01/14,TRANSPORTATION_GAS,Credit Card,GAS02,Exxon,VISA,American Express
US001,V001,-200.00,2024/01/15,MEDICAL_PRIMARY_CARE,Credit Card,MED01,City Health Clinic,VISA,American Express
US001,W001,-30.00,2024/01/15,ENTERTAINMENT_VIDEO_GAMES,Debit Card,GAM01,Steam,VISA,Chase Bank
US001,X001,-75.50,2024/01/15,FOOD_AND_DRINK_GROCERIES,Credit Card,GRC03,Safeway,Mastercard,Citi Bank
