User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,5500.00,2023/05/31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-150.25,2023/05/31,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,Visa,American Express
US001,T003,-85.99,2023/05/30,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,Mastercard,Citibank
US001,T004,-2200.00,2023/05/30,RENT_AND_UTILITIES_RENT,Bank Transfer,LND01,Luxury Apartments LLC,ACH,Chase Bank
US001,T005,-120.50,2023/05/29,TRANSPORTATION_GAS,Credit Card,GS01,Shell,Visa,American Express
US001,T006,-75.00,2023/05/29,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,Equinox,Mastercard,Citibank
US001,T007,-450.00,2023/05/28,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nordstrom,Visa,American Express
US001,T008,-200.00,2023/05/27,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST01,Le Bernardin,Mastercard,Citibank
US001,T009,-35.00,2023/05/26,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,Visa,American Express
US001,T010,-1500.00,2023/05/25,LOAN_PAYMENTS_CAR_PAYMENT,Bank Transfer,CAR01,BMW Financial Services,ACH,Chase Bank
US001,T011,-180.75,2023/05/24,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELEC01,Best Buy,Mastercard,Citibank
US001,T012,-65.00,2023/05/23,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,SAL01,Luxury Salon,Visa,American Express
US001,T013,-250.00,2023/05/22,GENERAL_SERVICES_INSURANCE,Bank Transfer,INS01,State Farm,ACH,Chase Bank
US001,T014,-45.99,2023/05/21,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Chipotle,Mastercard,Citibank
US001,T015,-300.00,2023/05/20,HOME_IMPROVEMENT_FURNITURE,Credit Card,FUR01,Pottery Barn,Visa,American Express
US001,T016,-150.00,2023/05/19,MEDICAL_PRIMARY_CARE,Credit Card,MED01,City Health Clinic,Mastercard,Citibank
US001,T017,-80.00,2023/05/18,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,EVT01,Local Stadium,Visa,American Express
US001,T018,-220.50,2023/05/17,GENERAL_MERCHANDISE_GROCERIES,Credit Card,GR02,Trader Joe's,Mastercard,Citibank
US001,T019,-55.00,2023/05/17,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RIDE01,Uber,Visa,American Express
US001,T020,-1200.00,2023/05/16,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Bank Transfer,CC01,American Express,ACH,Chase Bank
US001,T021,-95.00,2023/05/16,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Bank Transfer,ISP01,Comcast,ACH,Chase Bank
US001,T022,-75.00,2023/05/16,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Credit Card,LIQ01,Total Wine,Mastercard,Citibank
US001,T023,-40.00,2023/05/16,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAME01,Steam,Visa,American Express
US001,T024,-130.00,2023/05/16,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PET01,Petco,Mastercard,Citibank
US001,T025,-60.00,2023/05/16,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,Credit Card,LAUN01,Luxury Cleaners,Visa,American Express
US001,T026,-200.00,2023/05/16,GENERAL_SERVICES_EDUCATION,Bank Transfer,EDU01,Online Course Platform,ACH,Chase Bank
US001,T027,-85.00,2023/05/16,TRANSPORTATION_PARKING,Credit Card,PARK01,City Parking,Mastercard,Citibank
US001,T028,-150.00,2023/05/16,MEDICAL_DENTAL_CARE,Credit Card,DENT01,Smile Dental,Visa,American Express
US001,T029,-70.00,2023/05/16,FOOD_AND_DRINK_COFFEE,Credit Card,COF01,Starbucks,Mastercard,Citibank
US001,T030,-500.00,2023/05/16,TRAVEL_LODGING,Credit Card,HOT01,Marriott Hotels,Visa,American Express
US001,T031,-180.00,2023/05/16,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SPORT01,Nike,Mastercard,Citibank
US001,T032,-90.00,2023/05/16,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Bank Transfer,UTIL01,City Power & Gas,ACH,Chase Bank
US001,T033,-45.00,2023/05/16,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,CAS01,Online Casino,Visa,American Express
US001,T034,-110.00,2023/05/16,GENERAL_MERCHANDISE_OFFICE_SUPPLIES,Credit Card,OFF01,Staples,Mastercard,Citibank
US001,T035,-65.00,2023/05/16,FOOD_AND_DRINK_VENDING_MACHINES,Credit Card,VEND01,Office Vending,Visa,American Express
