User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,4500.00,2023-03-31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,45.99,2023-03-31,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,Chase Bank
US001,T003,14.99,2023-03-31,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Mastercard,Capital One
US001,T004,125.00,2023-03-30,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,Visa,Chase Bank
US001,T005,65.75,2023-03-30,FOOD_AND_DRINK_RESTAURANT,Credit Card,OG01,Olive Garden,Mastercard,Capital One
US001,T006,42.50,2023-03-29,TRANSPORTATION_GAS,Debit Card,SH01,Shell,Visa,Chase Bank
US001,T007,12.99,2023-03-29,FOOD_AND_DRINK_FAST_FOOD,Credit Card,MCD1,McDonald's,Visa,Chase Bank
US001,T008,89.99,2023-03-28,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Mastercard,Capital One
US001,T009,35.00,2023-03-28,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,SL01,SuperCuts,Visa,Chase Bank
US001,T010,1500.00,2023-03-27,RENT_AND_UTILITIES_RENT,ACH Transfer,APT1,Sunset Apartments,ACH,Chase Bank
US001,T011,150.00,2023-03-27,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,ACH Transfer,PGE1,Pacific Gas & Electric,ACH,Chase Bank
US001,T012,75.00,2023-03-27,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Credit Card,COM1,Comcast,Visa,Chase Bank
US001,T013,55.00,2023-03-26,FOOD_AND_DRINK_GROCERIES,Debit Card,TJ01,Trader Joe's,Visa,Chase Bank
US001,T014,28.50,2023-03-26,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,AMC1,AMC Theaters,Mastercard,Capital One
US001,T015,9.99,2023-03-25,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Visa,Chase Bank
US001,T016,75.00,2023-03-25,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Mastercard,Capital One
US001,T017,45.00,2023-03-24,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,UB01,Uber,Visa,Chase Bank
US001,T018,22.50,2023-03-24,FOOD_AND_DRINK_RESTAURANT,Debit Card,CP01,Chipotle,Visa,Chase Bank
US001,T019,65.00,2023-03-23,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,PF01,Planet Fitness,Mastercard,Capital One
US001,T020,18.99,2023-03-23,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,Visa,Chase Bank
US001,T021,40.00,2023-03-22,TRANSPORTATION_GAS,Debit Card,EX01,ExxonMobil,Visa,Chase Bank
US001,T022,85.00,2023-03-22,FOOD_AND_DRINK_RESTAURANT,Credit Card,OT01,Outback Steakhouse,Mastercard,Capital One
US001,T023,12.99,2023-03-21,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,Visa,Chase Bank
US001,T024,32.50,2023-03-21,FOOD_AND_DRINK_GROCERIES,Debit Card,KR01,Kroger,Visa,Chase Bank
US001,T025,55.00,2023-03-20,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,TJ01,TJ Maxx,Mastercard,Capital One
US001,T026,25.00,2023-03-20,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,DK01,DraftKings,Visa,Chase Bank
US001,T027,15.99,2023-03-19,FOOD_AND_DRINK_FAST_FOOD,Debit Card,BK01,Burger King,Visa,Chase Bank
US001,T028,120.00,2023-03-19,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,TG01,Target,Mastercard,Capital One
US001,T029,35.00,2023-03-18,PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,Credit Card,TD01,Tide Cleaners,Visa,Chase Bank
US001,T030,50.00,2023-03-18,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Debit Card,MLB1,MLB Tickets,Visa,Chase Bank
US001,T031,22.99,2023-03-17,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Credit Card,BW01,BevMo,Mastercard,Capital One
US001,T032,75.00,2023-03-17,GENERAL_SERVICES_AUTOMOTIVE,Debit Card,JF01,Jiffy Lube,Visa,Chase Bank
US001,T033,30.00,2023-03-17,FOOD_AND_DRINK_RESTAURANT,Credit Card,APP1,Applebee's,Visa,Chase Bank
US001,T034,45.00,2023-03-17,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,LY01,Lyft,Mastercard,Capital One
US001,T035,18.99,2023-03-17,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PS01,PetSmart,Visa,Chase Bank
